,Resale-Cat,model,fuel_type,vehicle_class,displ,cyl,trans,drive,smog_rating,city_mpg,hwy_mpg,cmb_mpg,Greenhouse_gas_score,smartway,comb_CO2,Sales_2016,Sales_2017,Sales_2018
131,High,JEEP Wrangler Unlimited,Gasoline,small SUV,3.6,6.0,Man-6,4WD,6,16.0,21.0,18.0,4,No,503.0,180991,179188,228293
132,Low,NISSAN Leaf,Electricity,midsize car,0,0,Auto-1,2WD,10,126.0,101.0,114.0,10,Elite,0.0,13251,10458,14565
133,Low,NISSAN Leaf,Electricity,midsize car,0,0,Auto-1,2WD,10,126.0,101.0,114.0,10,Elite,0.0,13251,10458,14565
134,Low,NISSAN Leaf,Electricity,midsize car,0,0,Auto-1,2WD,10,124.0,101.0,112.0,10,Elite,0.0,13251,10458,14565
135,Low,NISSAN Leaf,Electricity,midsize car,0,0,Auto-1,2WD,10,124.0,101.0,112.0,10,Elite,0.0,13251,10458,14565
136,High,TOYOTA 4Runner,Gasoline,standard SUV,4.0,6.0,SemiAuto-5,2WD,5,17.0,22.0,19.0,4,No,466.0,104456,119597,130025
137,High,TOYOTA 4Runner,Gasoline,standard SUV,4.0,6.0,SemiAuto-5,2WD,6,17.0,22.0,19.0,4,No,466.0,104456,119597,130025
138,High,TOYOTA 4Runner,Gasoline,standard SUV,4.0,6.0,SemiAuto-5,4WD,5,17.0,21.0,18.0,4,No,478.0,104456,119597,130025
139,High,TOYOTA 4Runner,Gasoline,standard SUV,4.0,6.0,SemiAuto-5,4WD,6,17.0,21.0,18.0,4,No,478.0,104456,119597,130025
140,High,TOYOTA Tacoma,Gasoline,pickup,2.7,4.0,Man-5,4WD,5,19.0,21.0,20.0,4,No,449.0,178914,185615,228947
141,High,TOYOTA Tacoma,Gasoline,pickup,2.7,4.0,Man-5,4WD,7,19.0,21.0,20.0,4,No,449.0,178914,185615,228947
142,High,TOYOTA Tacoma,Gasoline,pickup,2.7,4.0,SemiAuto-6,2WD,5,19.0,23.0,21.0,5,No,424.0,178914,185615,228947
143,High,TOYOTA Tacoma,Gasoline,pickup,2.7,4.0,SemiAuto-6,2WD,7,19.0,23.0,21.0,5,No,424.0,178914,185615,228947
144,High,TOYOTA Tacoma,Gasoline,pickup,2.7,4.0,SemiAuto-6,4WD,5,19.0,22.0,20.0,4,No,441.0,178914,185615,228947
145,High,TOYOTA Tacoma,Gasoline,pickup,2.7,4.0,SemiAuto-6,4WD,7,19.0,22.0,20.0,4,No,441.0,178914,185615,228947
146,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,Man-6,4WD,5,17.0,20.0,18.0,4,No,483.0,178914,185615,228947
147,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,Man-6,4WD,5,17.0,21.0,19.0,4,No,471.0,178914,185615,228947
148,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,Man-6,4WD,7,17.0,20.0,18.0,4,No,483.0,178914,185615,228947
149,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,Man-6,4WD,7,17.0,21.0,19.0,4,No,471.0,178914,185615,228947
150,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,SemiAuto-6,2WD,5,19.0,24.0,21.0,5,No,430.0,178914,185615,228947
151,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,SemiAuto-6,2WD,7,19.0,24.0,21.0,5,No,430.0,178914,185615,228947
152,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,SemiAuto-6,4WD,5,18.0,23.0,20.0,4,No,444.0,178914,185615,228947
153,High,TOYOTA Tacoma,Gasoline,pickup,3.5,6.0,SemiAuto-6,4WD,7,18.0,23.0,20.0,4,No,444.0,178914,185615,228947
154,High,TOYOTA Tundra,Gasoline,pickup,4.6,8.0,SemiAuto-6,2WD,5,15.0,19.0,16.0,3,No,537.0,108257,109657,110614
155,High,TOYOTA Tundra,Gasoline,pickup,4.6,8.0,SemiAuto-6,2WD,6,15.0,19.0,16.0,3,No,537.0,108257,109657,110614
156,High,TOYOTA Tundra,Gasoline,pickup,4.6,8.0,SemiAuto-6,4WD,5,14.0,18.0,16.0,3,No,570.0,108257,109657,110614
157,High,TOYOTA Tundra,Gasoline,pickup,4.6,8.0,SemiAuto-6,4WD,6,14.0,18.0,16.0,3,No,570.0,108257,109657,110614
158,High,TOYOTA Tundra,Gasoline,pickup,5.7,8.0,SemiAuto-6,2WD,5,13.0,18.0,15.0,2,No,601.0,108257,109657,110614
159,High,TOYOTA Tundra,Gasoline,pickup,5.7,8.0,SemiAuto-6,2WD,6,13.0,18.0,15.0,2,No,601.0,108257,109657,110614
160,High,TOYOTA Tundra,Gasoline,pickup,5.7,8.0,SemiAuto-6,4WD,5,13.0,17.0,15.0,2,No,608.0,108257,109657,110614
161,High,TOYOTA Tundra,Gasoline,pickup,5.7,8.0,SemiAuto-6,4WD,6,13.0,17.0,15.0,2,No,608.0,108257,109657,110614
162,Low,BMW 740e,Gasoline/Electricity,large car,2.0,4.0,SemiAuto-8,4WD,6,43.5,48.5,45.5,9,Yes,214.0,12071,8731,7909
163,Low,BMW 740e,Gasoline/Electricity,large car,2.0,4.0,SemiAuto-8,4WD,6,43.5,48.5,45.5,9,Yes,214.0,12071,8731,7909
164,Low,BMW 740i,Gasoline,large car,3.0,6.0,SemiAuto-8,2WD,6,21.0,29.0,24.0,5,No,372.0,12071,8731,7909
165,Low,BMW 740i,Gasoline,large car,3.0,6.0,SemiAuto-8,2WD,6,21.0,29.0,24.0,5,No,372.0,12071,8731,7909
166,Low,BMW 740i,Gasoline,large car,3.0,6.0,SemiAuto-8,4WD,6,19.0,28.0,22.0,5,No,397.0,12071,8731,7909
167,Low,BMW 740i,Gasoline,large car,3.0,6.0,SemiAuto-8,4WD,6,19.0,28.0,22.0,5,No,397.0,12071,8731,7909
168,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,2WD,6,17.0,26.0,20.0,4,No,441.0,12071,8731,7909
169,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,2WD,6,17.0,26.0,20.0,4,No,441.0,12071,8731,7909
170,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,4WD,6,16.0,25.0,19.0,4,No,459.0,12071,8731,7909
171,Low,BMW 750i,Gasoline,large car,4.4,8.0,SemiAuto-8,4WD,6,16.0,25.0,19.0,4,No,459.0,12071,8731,7909
172,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,2WD,6,20.0,26.0,22.0,5,No,405.0,103217,106583,20848
173,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,2WD,6,20.0,26.0,22.0,5,No,405.0,103217,106583,20848
174,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,4WD,6,19.0,24.0,21.0,4,No,423.0,103217,106583,20848
175,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Auto-6,4WD,6,19.0,24.0,21.0,4,No,423.0,103217,106583,20848
176,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Man-6,2WD,6,19.0,26.0,22.0,5,No,408.0,103217,106583,20848
177,High,CHEVROLET Colorado,Gasoline,pickup,2.5,4.0,Man-6,2WD,6,19.0,26.0,22.0,5,No,408.0,103217,106583,20848
178,High,CHEVROLET Colorado,Diesel,pickup,2.8,4.0,Auto-6,2WD,6,22.0,30.0,25.0,5,No,411.0,103217,106583,20848
